Table S8. Alpha diversity estimates of richness,,,,,,,,,
,,,,,,,,,
Bacterial Sample,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
Hum.ES.8.16S_S68_L001_R1_001.fastq.gz,175,175,0,175,3.210696409,4.40238701,0.974544994,39.28500362,26.15706101
Hum.ES.9.16S_S69_L001_R1_001.fastq.gz,161,161,0,161,3.201319604,4.555717595,0.983684273,61.29055903,25.73810719
Hum.RS.1.16S_S31_L001_R1_001.fastq.gz,57,57,0,57,2.316985337,3.801352868,0.972887813,36.88378257,10.82193975
Hum.RS.10.16S_S40_L001_R1_001.fastq.gz,210,210,0,210,3.228592499,4.962955324,0.989579142,95.96139058,35.47299244
Hum.RS.11.16S_S41_L001_R1_001.fastq.gz,184,184,0,184,2.205477371,4.819967007,0.988283858,85.35232918,28.85740928
Hum.RS.12.16S_S42_L001_R1_001.fastq.gz,241,241,0,241,3.376757265,4.924850212,0.987993539,83.28848632,36.77389673
Hum.RS.13.16S_S43_L001_R1_001.fastq.gz,150,150,0,150,2.908607914,4.5088834,0.983848381,61.913297,23.8860044
Hum.RS.14.16S_S44_L001_R1_001.fastq.gz,133,133,0,133,2.393600491,4.299162369,0.976725844,42.96611285,19.6276042
Hum.RS.15.16S_S45_L001_R1_001.fastq.gz,263,263,0,263,4.198496925,5.093864706,0.990809574,108.8088815,43.14778939
Hum.RS.16.16S_S46_L001_R1_001.fastq.gz,199,199,0,199,2.770991151,4.812383864,0.987685188,81.20302526,31.97466929
Hum.RS.18.16S_S48_L001_R1_001.fastq.gz,196,196,0,196,3.356382893,4.874966246,0.989496286,95.2044195,32.34724977
Hum.RS.19.16S_S49_L001_R1_001.fastq.gz,268,268,0,268,4.302030066,5.031521606,0.989096256,91.7116162,42.5308192
Hum.RS.2.16S_S32_L001_R1_001.fastq.gz,167,167,0,167,2.759848994,4.504577118,0.981986582,55.51417251,25.24784516
